bowler,strike_rate,economy
VR Aaron,22.6,133.217597007751
KJ Abbott,51,170.000004768372
YA Abdulla,14.8,142.028987407684
L Ablish,9,179.999995231628
AB Agarkar,24.8485,141.041934490204
AN Ahmed,24.1333,134.582138061523
B Akhil,27.5714,125.806450843811
P Amarnath,18,190.196073055267
Anand Rajan,16.2,123.026311397552
CJ Anderson,28.7778,154.799997806549
Ankit Soni,28,130.555558204651
KP Appanna,20.1818,131.279623508453
S Aravind,16.4167,136.081075668335
M Ashwin,25.1429,138.461542129517
R Ashwin,21.4455,106.89195394516
Avesh Khan,24,100
P Awana,18,136.525309085846
Azhar Mahmood,17.8065,130.326294898987
S Badree,23.9091,122.619044780731
L Balaji,18.5176,130.826056003571
SB Bangar,25.5,144.217681884766
Basil Thampi,18.5333,156.653988361359
R Bhatia,20.2561,125.522482395172
BA Bhatt,23.3077,134.13792848587
STR Binny,20.5185,126.375710964203
Bipul Sharma,19.8182,134.299516677856
SM Boland,14.3333,129.999995231628
DE Bollinger,13.9535,118.491923809052
SE Bond,21.2222,119.780218601227
RS Bopara,16.3846,137.999999523163
J Botha,26.2593,114.516127109528
TA Boult,22.1875,138.643062114716
DAJ Bracewell,8.33333,140.909087657928
CR Brathwaite,18.1,143.859648704529
JJ Bumrah,20.4528,132.104754447937
KC Cariappa,26.375,151.231527328491
LA Carseldine,7,83.3333313465118
YS Chahal,16.9306,133.565819263458
DL Chahar,77,144.736838340759
RD Chahar,23,122.727274894714
A Chandila,21.2727,108.520174026489
AA Chavan,31.875,128.74493598938
PP Chawla,19.4586,129.36863899231
SD Chitnis,19,150
DT Christian,23.3438,125.734269618988
MJ Clarke,22,106.349205970764
PD Collingwood,18,117.647063732147
PJ Cummins,19.9474,132.500004768372
BCJ Cutting,19,141.9753074646
C de,25.5,131.632649898529
M de,19.3333,142.727267742157
R Dhawan,25.65,122.920894622803
S Dhawan,12.25,144.444441795349
TM Dilshan,55,133.703708648682
AB Dinda,19.378,131.718647480011
AP Dole,14.6,154.411768913269
ND Doshi,28.5,141.818177700043
D du,10.75,141.025638580322
FH Edwards,25,100
JP Faulkner,16.9342,143.435180187225
FY Fazal,12,172.727274894714
LH Ferguson,17.4,102.439022064209
CRD Fernando,13.1053,121.30434513092
AJ Finch,44,153.488373756409
A Flintoff,33,164.0625
JEC Franklin,17.2222,147.945201396942
Gagandeep Singh,28,174.074077606201
SC Ganguly,23.3333,133.208954334259
CH Gayle,30.4737,120.535719394684
B Geeves,24.5,191.489362716675
RV Gomez,16.1667,140.65934419632
S Gopal,16.5714,140.366971492767
Gurkeerat Singh,16.4,120.77921628952
Harbhajan Singh,21.9779,115.387308597565
Harmeet Singh,18.5161,128.17679643631
Harmeet Singh,18.5161,128.17679643631
RJ Harris,18.4043,121.760392189026
SM Harwood,22.3333,95.3125
JW Hastings,20.3333,108.620691299438
TM Head,16,177.777779102325
T Henderson,36,114.285719394684
BE Hendricks,14.2727,153.424656391144
MC Henriques,21.8571,138.013696670532
MJ Henry,15.5,237.931036949158
BW Hilfenhaus,16.9565,125.613081455231
BJ Hodge,13.2222,133.636367321014
GB Hogg,18.64,125.170063972473
JO Holder,28.5,133.636367321014
DJ Hooda,33.5,132.307696342468
JR Hopes,26.5385,146.385538578033
DJ Hussey,32.3,149.201273918152
RA Jadeja,22.0449,131.019759178162
SB Jakati,22.02,135.299718379974
Jaskaran Singh,18.5,154.285717010498
ST Jayasuriya,18.8125,131.228065490723
AA Jhunjhunwala,88,144.827580451965
Joginder Sharma,20.5833,151.489365100861
MG Johnson,18.25,128.804349899292
CJ Jordan,13.4286,142.528736591339
SB Joshi,55,151.851856708527
JH Kallis,24.3108,128.637683391571
D Kalyankrishna,25,177.083337306976
Kamran Khan,12.6429,139.263808727264
Karanveer Singh,15.2143,156.78391456604
M Kartik,30.3077,116.972875595093
S Kaul,18.9565,140.193700790405
S Kaushik,35,142.647063732147
AA Kazi,13,166.666662693024
JM Kemp,15.6667,115.909087657928
Z Khan,19.1261,124.478447437286
V Kohli,52.8,136.293435096741
KMDN Kulasekara,17.8333,112.871289253235
Kuldeep Yadav,17.0526,140.327870845795
DS Kulkarni,18.3333,127.421653270721
