bowler,clusternumber
JA Morkel,0
M Morkel,3
CH Morris,3
WA Mota,3
SS Mundhe,3
M Muralitharan,3
AG Murtaza,3
Mustafizur Rahman,3
DJ Muthuswami,3
S Nadeem,3
Y Nagar,1
C Nanda,3
DP Nannes,3
GR Napier,3
SP Narine,3
S Narwal,1
T Natarajan,2
AM Nayar,0
JDS Neesham,2
P Negi,0
A Nehra,0
A Nel,1
R Ninan,1
AA Noffke,0
M Ntini,3
PP Ojha,3
JDP Oram,0
IC Pandey,0
HH Pandya,2
KH Pandya,3
Pankaj Singh,2
P Parameswaran,0
WD Parnell,3
AR Patel,3
HV Patel,0
MM Patel,0
IK Pathan,3
YK Pathan,3
NLTC Perera,0
RJ Peterson,0
KP Pietersen,3
KA Pollard,0
SM Pollock,3
RR Powar,3
V Pratap,0
K Rabada,0
AM Rahane,3
SK Raina,3
RR Raje,0
AS Rajpoot,0
R Rampaul,3
Rashid Khan,3
DB Ravi,1
KW Richardson,0
AD Russell,0
JD Ryder,0
Sachin Baby,3
P Sahu,2
D Salunkhe,2
AM Salvi,0
DJG Sammy,0
MN Samuels,0
Sandeep Sharma,0
GS Sandhu,2
PJ Sangwan,0
K Santokie,1
SS Sarkar,0
PM Sarvesh,0
R Sathish,1
V Sehwag,1
SMSM Senanayake,3
Shahid Afridi,3
Shakib Al,3
T Shamsi,2
I Sharma,0
KV Sharma,0
MM Sharma,0
R Sharma,3
RG Sharma,0
Shivam Sharma,2
Shoaib Ahmed,0
Shoaib Akhtar,3
Shoaib Malik,0
LR Shukla,0
R Shukla,1
LMP Simmons,1
A Singh,0
NB Singh,3
RP Singh,3
DR Smith,0
Sohail Tanvir,3
TG Southee,0
BB Sran,0
BB Sran,0
S Sreesanth,3
SJ Srivastava,0
B Stanlake,0
MA Starc,3
DW Steyn,3
MP Stoinis,0
BA Stokes,3
SB Styris,3
J Suchith,0
TL Suman,0
Swapnil Singh,2
J Syed,0
A Symonds,3
SW Tait,3
PV Tambe,0
JE Taylor,0
RN ten,3
R Tewatia,3
SN Thakur,0
J Theron,0
AC Thomas,3
T Thushara,3
MK Tiwary,1
SK Trivedi,3
S Tyagi,0
AJ Tye,3
Umar Gul,3
JD Unadkat,0
A Uniyal,1
WPUJC Vaas,0
PC Valthaty,0
RE van,3
JJ van,1
Y Venugopal,2
DL Vettori,3
S Vidyut,1
GH Vihari,3
DP Vijaykumar,3
R Vinay,0
AC Voges,2
SB Wagh,0
SK Warne,3
Washington Sundar,3
SR Watson,3
CL White,1
D Wiese,0
CR Woakes,0
LJ Wright,2
J Yadav,3
UT Yadav,0
Yuvraj Singh,3
A Zampa,0
DNT Zoysa,2
VR Aaron,0
KJ Abbott,2
YA Abdulla,0
L Ablish,1
AB Agarkar,0
AN Ahmed,0
B Akhil,3
P Amarnath,1
Anand Rajan,3
CJ Anderson,2
Ankit Soni,0
KP Appanna,0
S Aravind,0
M Ashwin,0
R Ashwin,3
Avesh Khan,3
P Awana,0
Azhar Mahmood,0
S Badree,3
L Balaji,0
SB Bangar,0
Basil Thampi,0
R Bhatia,3
BA Bhatt,0
STR Binny,3
Bipul Sharma,0
SM Boland,0
DE Bollinger,3
SE Bond,3
RS Bopara,0
J Botha,3
TA Boult,0
DAJ Bracewell,0
CR Brathwaite,0
JJ Bumrah,0
KC Cariappa,0
LA Carseldine,3
YS Chahal,0
DL Chahar,4
RD Chahar,3
A Chandila,3
AA Chavan,0
PP Chawla,0
SD Chitnis,0
DT Christian,3
MJ Clarke,3
PD Collingwood,3
PJ Cummins,0
BCJ Cutting,0
C de,0
M de,0
R Dhawan,3
S Dhawan,0
TM Dilshan,2
AB Dinda,0
AP Dole,0
ND Doshi,0
D du,0
FH Edwards,3
JP Faulkner,0
FY Fazal,1
LH Ferguson,3
CRD Fernando,3
AJ Finch,2
A Flintoff,2
JEC Franklin,0
Gagandeep Singh,1
SC Ganguly,0
CH Gayle,3
B Geeves,1
RV Gomez,0
S Gopal,0
Gurkeerat Singh,3
Harbhajan Singh,3
Harmeet Singh,0
Harmeet Singh,0
RJ Harris,3
SM Harwood,3
JW Hastings,3
TM Head,1
T Henderson,3
BE Hendricks,0
MC Henriques,0
MJ Henry,1
BW Hilfenhaus,3
BJ Hodge,0
GB Hogg,3
JO Holder,0
DJ Hooda,0
JR Hopes,0
DJ Hussey,2
RA Jadeja,0
SB Jakati,0
Jaskaran Singh,0
ST Jayasuriya,0
AA Jhunjhunwala,4
Joginder Sharma,0
MG Johnson,0
CJ Jordan,0
SB Joshi,2
JH Kallis,0
D Kalyankrishna,1
Kamran Khan,0
Karanveer Singh,0
M Kartik,3
S Kaul,0
S Kaushik,2
AA Kazi,1
JM Kemp,3
Z Khan,3
V Kohli,2
KMDN Kulasekara,3
Kuldeep Yadav,0
DS Kulkarni,0
B Kumar,3
A Kumble,3
S Ladda,2
CK Langeveldt,3
B Laughlin,2
B Lee,3
MF Maharoof,3
VY Mahesh,0
VS Malik,3
SL Malinga,3
MR Marsh,0
AD Mascarenhas,3
AD Mathews,0
GJ Maxwell,0
MJ McClenaghan,0
AB McDonald,0
GD McGrath,3
CJ McKay,2
R McLaren,0
AL Menaria,3
BAW Mendis,3
BMAJ Mendis,3
TS Mills,0
AF Milne,0
A Mishra,3
A Mithun,2
Mohammad Asif,0
Mohammad Hafeez,3
Mohammad Nabi,3
Mohammed Shami,0
Mohammed Siraj,0
RG More,2
