Player Name,Number
PA Patel,0
ML Hayden,1
P Kumar,2
JH Kallis,3
R Vinay Kumar,4
A Kumble,5
MS Dhoni,6
RE van der Merwe,7
SK Raina,8
JA Morkel,9
JDP Oram,10
S Badrinath,11
MK Pandey,12
MS Gony,13
R Dravid,14
SB Jakati,15
M Muralitharan,16
L Balaji,17
V Kohli,18
LRPL Taylor,19
Mandeep Singh,20
AC Gilchrist,21
A Chandila,22
S Sreesanth,23
M Vohra,24
DJ Hussey,25
Gurkeerat Singh,26
KK Cooper,27
JP Faulkner,28
SK Trivedi,29
R Sathish,30
Azhar Mahmood,31
PP Chawla,32
STR Binny,33
RJ Harris,34
P Awana,35
SR Watson,36
AM Rahane,37
BJ Hodge,38
SV Samson,39
MA Agarwal,40
Q de Kock,41
AD Russell,42
UT Yadav,43
SS Iyer,44
KK Nair,45
JW Hastings,46
P Negi,47
C Munro,48
GB Hogg,49
CR Brathwaite,50
CH Morris,51
NM Coulter-Nile,52
A Mishra,53
Z Khan,54
RV Uthappa,55
G Gambhir,56
B Kumar,57
MDKJ Perera,58
AB Dinda,59
AD Mathews,60
R Sharma,61
Yuvraj Singh,62
MR Marsh,63
DH Yagnik,64
AJ Finch,65
Harmeet Singh (2),66
MA Starc,67
HV Patel,68
D Wiese,69
JP Duminy,70
CH Gayle,71
YS Chahal,72
KM Jadhav,73
SS Tiwary,74
J Yadav,75
M Vijay,76
R McLaren,77
Harbhajan Singh,78
SL Malinga,79
AN Ahmed,80
DJ Bravo,81
KA Pollard,82
MEK Hussey,83
S Dhawan,84
SR Tendulkar,85
S Tyagi,86
DE Bollinger,87
R Ashwin,88
T Thushara,89
AT Rayudu,90
RS Bopara,91
IK Pathan,92
KC Sangakkara,93
DPMD Jayawardene,94
M Kaif,95
JM Kemp,96
MS Bisla,97
J Theron,98
RR Powar,99
SJ Srivastava,100
WD Parnell,101
K Upadhyay,102
Parvez Rasool,103
EJG Morgan,104
RN ten Doeschate,105
YK Pathan,106
MK Tiwary,107
R Bhatia,108
Iqbal Abdulla,109
UA Birla,110
SP Narine,111
M Rawat,112
CJ Anderson,113
JJ Bumrah,114
PP Ojha,115
S Gopal,116
LMP Simmons,117
DS Kulkarni,118
RG Sharma,119
PV Tambe,120
AP Tare,121
HM Amla,122
SS Agarwal,123
NB Singh,124
SE Marsh,125
Basil Thampi,126
AJ Tye,127
RA Jadeja,128
GJ Maxwell,129
MP Stoinis,130
AR Patel,131
WP Saha,132
DR Smith,133
MM Sharma,134
BB McCullum,135
Sandeep Sharma,136
T Natarajan,137
KC Cariappa,138
KD Karthik,139
AD Nath,140
RP Singh,141
OA Shah,142
JEC Franklin,143
