Batsman,strike_rate,average
VR Aaron,86.7924511432648,11.5
KJ Abbott,185.714280605316,13
SA Abbott,125,7.5
YA Abdulla,0,0
Abdur Razzak,0,0
L Ablish,0,0
AB Agarkar,117.763161659241,17.9
MA Agarwal,126.201546192169,16.68
AN Ahmed,138.461542129517,36
B Akhil,150,12.67
HM Amla,142.469131946564,44.38
CJ Anderson,131.898736953735,24.45
Anirudh Singh,96.9230771064758,15.75
S Anirudha,120.353984832764,17
Ankit Soni,100,3.5
KP Appanna,33.3333343267441,2
S Aravind,105.357146263123,14.75
KB Arun,102.083337306976,0
J Arunkumar,109.523808956146,7.67
R Ashwin,101.327431201935,11.1
SA Asnodkar,126.726722717285,21.15
P Awana,45.4545468091965,2.5
Azhar Mahmood,132.534241676331,20.42
S Badree,64.9999976158142,2.6
S Badrinath,119.019436836243,30.66
GJ Bailey,126.577436923981,24.56
L Balaji,83.7209284305573,4.5
SB Bangar,94.2307710647583,7
AB Barath,102.439022064209,21
Basil Thampi,96.5517222881317,31
AR Bawne,100,0
F Behardien,127.272725105286,7
R Bhatia,130.268204212189,11.4
BA Bhatt,85.7142865657806,6
AA Bilakhia,83.132529258728,13.8
SW Billings,138.65031003952,18.56
STR Binny,131.271481513977,18.84
Bipul Sharma,157.62711763382,23.38
UA Birla,50,7
TR Birt,138.888883590698,15
R Bishnoi,135.714280605316,6.33
MS Bisla,113.999998569489,21
AC Blizzard,142.857146263123,17.14
DE Bollinger,95.4545438289642,21
SE Bond,100,1
RS Bopara,118.262803554535,29.5
J Botha,119.005846977234,20.45
MV Boucher,129.702973365784,28.14
TA Boult,62.5,5
DAJ Bracewell,133.333337306976,0
CR Brathwaite,197.916662693024,15.45
DM Bravo,120.000004768372,0
JJ Bumrah,104.166662693024,12
JC Buttler,148.732399940491,34.68
KC Cariappa,100,5
LA Carseldine,119.117641448975,20.25
YS Chahal,51.8518507480621,5
DL Chahar,279.999995231628,16
RD Chahar,150,0
UBT Chand,102.040815353394,15
S Chanderpaul,83.3333313465118,8.33
A Chandila,66.6666686534882,0
AA Chavan,120.000004768372,6
PP Chawla,120.705878734589,11.78
B Chipli,116.666662693024,18.67
SD Chitnis,115.294122695923,14.14
A Chopra,75.7142841815948,8.83
DT Christian,127.439022064209,17.15
MJ Clarke,107.777774333954,16.33
PD Collingwood,130.967736244202,40.8
PJ Cummins,153.999996185303,12.83
BCJ Cutting,190.769231319427,24.44
DB Das,119.21569108963,21.71
H Das,50,2
C de,150,19.77
Q de,134.195935726166,28.09
M de,100,1
AB de,150.453174114227,39.53
R Dhawan,117.96875,25.5
S Dhawan,122.851228713989,32.98
MS Dhoni,138.087832927704,40.15
TM Dilshan,114.512920379639,26.81
AB Dinda,63.4146332740784,2.6
P Dogra,98.4496116638184,11.55
AP Dole,161.904764175415,17
ND Doshi,0,0
R Dravid,117.97935962677,28.23
F du,128.88445854187,30.35
D du,83.3333313465118,10
BR Dunk,121.212124824524,13.33
ER Dwivedi,184.615385532379,12
FH Edwards,100,4
JP Faulkner,139.417994022369,21.08
FY Fazal,106.470584869385,18.3
CJ Ferguson,86.7256641387939,16.33
LH Ferguson,100,0
CRD Fernando,100,0
AJ Finch,132.260727882385,26.32
SP Fleming,120.370376110077,21.78
A Flintoff,112.727272510529,31
JEC Franklin,109.731543064117,29.73
G Gambhir,125.015139579773,31.01
SC Ganguly,106.053459644318,25.45
CM Gautam,113.422822952271,16.9
RS Gavaskar,28.571429848671,2
CH Gayle,149.426698684692,41.18
AN Ghosh,116.666662693024,3.5
HH Gibbs,109.689438343048,27.69
AC Gilchrist,139.824199676514,27.22
Y Gnaneswara,111.764705181122,19
K Goel,93.6893224716187,14.53
RV Gomez,106.521737575531,10
S Gopal,56.0000002384186,12.8
SP Goswami,97.9591846466064,16.28
MJ Guptill,141.044771671295,21
Gurkeerat Singh,132.295715808868,18
BJ Haddin,179.999995231628,18
PSP Handscomb,54.5454561710358,6
Harbhajan Singh,147.583639621735,15.92
Harmeet Singh,179.999995231628,4.5
Harmeet Singh,179.999995231628,0
Harpreet Singh,83.3333313465118,10
DJ Harris,111.000001430511,27.75
RJ Harris,116.999995708466,9.75
SM Harwood,64.2857134342194,0
ML Hayden,136.100625991821,36.9
TM Head,140.689659118652,29.29
T Henderson,73.3333349227905,5.5
BE Hendricks,50,1
MC Henriques,131.880104541779,28.5
BJ Hodge,126.196932792664,33.33
GB Hogg,110.000002384186,7.33
JO Holder,140.740740299225,7.6
